"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensg","gene","desc"
"ENSMUSG00000035133",2133.34596086469,-0.863772923024474,0.268393392849584,-3.21830919104838,0.00128948733768849,0.00514128637194095,"ENSMUSG00000035133","Arhgap5","Rho GTPase activating protein 5 [Source:MGI Symbol;Acc:MGI:1332637]"
"ENSMUSG00000035139",209.330265241021,0.70513759597915,0.232645184499222,3.03095719559804,0.00243779804688652,0.00877167937570404,"ENSMUSG00000035139","Secisbp2","SECIS binding protein 2 [Source:MGI Symbol;Acc:MGI:1922670]"
"ENSMUSG00000035142",26.9248849357858,-0.196596844067163,0.406608389504829,-0.483504150779036,0.628737813270096,0.731238289467559,"ENSMUSG00000035142","Nubpl","nucleotide binding protein-like [Source:MGI Symbol;Acc:MGI:1924076]"
"ENSMUSG00000035150",1046.29950578505,-0.644625830475708,0.194287295134683,-3.31790007179236,0.000906969258351728,0.00380311143203898,"ENSMUSG00000035150","Eif2s3x","eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked [Source:MGI Symbol;Acc:MGI:1349431]"
"ENSMUSG00000035151",102.920137739805,-0.449016352216126,0.271615190036105,-1.65313417175394,0.0983035600935015,0.180835925722138,"ENSMUSG00000035151","Elmod2","ELMO/CED-12 domain containing 2 [Source:MGI Symbol;Acc:MGI:2445165]"
"ENSMUSG00000035152",1788.96287374745,-0.599302389962893,0.174166072448428,-3.44098239994676,0.000579606232731186,0.00260660043420596,"ENSMUSG00000035152","Ap2b1","adaptor-related protein complex 2, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1919020]"
"ENSMUSG00000035158",35.2384706846933,0.468365743803661,0.39551365219821,1.18419614898386,0.236335426214378,0.357213287273035,"ENSMUSG00000035158","Mitf","melanogenesis associated transcription factor [Source:MGI Symbol;Acc:MGI:104554]"
"ENSMUSG00000035161",614.361161742744,0.635793730794654,0.320471257107866,1.98393371228502,0.0472632301034561,0.100461188646394,"ENSMUSG00000035161","Ints6","integrator complex subunit 6 [Source:MGI Symbol;Acc:MGI:1202397]"
"ENSMUSG00000035164",197.682095677015,0.085808514277275,0.231600702579674,0.37050196014736,0.711008516325345,0.794656342020192,"ENSMUSG00000035164","Zc3h12c","zinc finger CCCH type containing 12C [Source:MGI Symbol;Acc:MGI:3026959]"
"ENSMUSG00000035168",196.006288610789,0.462066527598645,0.247205538404209,1.86915928575643,0.0616006568124355,0.124484401537538,"ENSMUSG00000035168","Tanc1","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:MGI Symbol;Acc:MGI:1914110]"
"ENSMUSG00000035171",58.2341602012454,0.0113012545014042,0.346068461664372,0.0326561237249192,0.973948813408054,0.983610749379941,"ENSMUSG00000035171","1110059E24Rik","RIKEN cDNA 1110059E24 gene [Source:MGI Symbol;Acc:MGI:1913456]"
"ENSMUSG00000035172",13.0346440633591,1.87900253566587,0.759500212206752,2.4739986973886,0.013361018395043,0.0358547510834363,"ENSMUSG00000035172","Plekhh3","pleckstrin homology domain containing, family H (with MyTH4 domain) member 3 [Source:MGI Symbol;Acc:MGI:2384950]"
"ENSMUSG00000035173",946.571768073791,-0.986549104796223,0.321458960375398,-3.06897373040756,0.00214795477855849,0.00789305514882679,"ENSMUSG00000035173","Ccdc186","coiled-coil domain containing 186 [Source:MGI Symbol;Acc:MGI:2445022]"
"ENSMUSG00000035179",6.5997527341386,2.32958301737139,0.946973745127084,2.46002915007824,0.0138925731437463,0.0370541400784873,"ENSMUSG00000035179","Ppp1r32","protein phosphatase 1, regulatory subunit 32 [Source:MGI Symbol;Acc:MGI:1915002]"
"ENSMUSG00000035181",99.9638625331028,0.437170575713036,0.330415995948669,1.32309143949844,0.185804971185556,0.297182880397633,"ENSMUSG00000035181","Heatr5a","HEAT repeat containing 5A [Source:MGI Symbol;Acc:MGI:2444133]"
"ENSMUSG00000035183",658.450375815385,-0.261771123973963,0.285458306531646,-0.917020517477718,0.359131888766672,0.48897548108478,"ENSMUSG00000035183","Slc24a5","solute carrier family 24, member 5 [Source:MGI Symbol;Acc:MGI:2677271]"
"ENSMUSG00000035184",167.371931503468,0.21958372266765,0.282466817206754,0.777378825729199,0.436935301211397,0.562792566342119,"ENSMUSG00000035184","Fam124a","family with sequence similarity 124, member A [Source:MGI Symbol;Acc:MGI:3645930]"
"ENSMUSG00000035189",168.448673193317,0.217691144805276,0.233008434716142,0.934262938036877,0.350168277145334,0.479996418671755,"ENSMUSG00000035189","Ano4","anoctamin 4 [Source:MGI Symbol;Acc:MGI:2443344]"
"ENSMUSG00000035198",283.02469215912,-0.175659234405196,0.236424590767974,-0.74298208081742,0.45749252931934,0.581928096883666,"ENSMUSG00000035198","Tubg1","tubulin, gamma 1 [Source:MGI Symbol;Acc:MGI:101834]"
